article_title,country,revision_id,article_quality,population,region
Shahjahan Noori,Afghanistan,1099689043,GA,41.1,SOUTH ASIA
Abdul Ghafar Lakanwal,Afghanistan,943562276,Start,41.1,SOUTH ASIA
Majah Ha Adrif,Afghanistan,852404094,Start,41.1,SOUTH ASIA
Haroon al-Afghani,Afghanistan,1095102390,B,41.1,SOUTH ASIA
Tayyab Agha,Afghanistan,1104998382,Start,41.1,SOUTH ASIA
Ahmadullah Wasiq,Afghanistan,1109361754,Start,41.1,SOUTH ASIA
Aziza Ahmadyar,Afghanistan,1087211008,Start,41.1,SOUTH ASIA
Muqadasa Ahmadzai,Afghanistan,1082489593,Start,41.1,SOUTH ASIA
Mohammad Sarwar Ahmedzai,Afghanistan,1038918070,Start,41.1,SOUTH ASIA
Amir Muhammad Akhundzada,Afghanistan,1069322182,Start,41.1,SOUTH ASIA
Nasrullah Baryalai Arsalai,Afghanistan,1095526840,Start,41.1,SOUTH ASIA
Mohammad Asim Asim,Afghanistan,1013838830,Stub,41.1,SOUTH ASIA
Atiqullah Atifmal,Afghanistan,1112407669,Start,41.1,SOUTH ASIA
Abdul Rahim Ayoubi,Afghanistan,1108886061,Start,41.1,SOUTH ASIA
Alhaj Mutalib Baig,Afghanistan,1111494041,Start,41.1,SOUTH ASIA
Ismael Balkhi,Afghanistan,1112534409,Start,41.1,SOUTH ASIA
Abdul Baqi Turkistani,Afghanistan,889226470,Stub,41.1,SOUTH ASIA
Mohammad Ghous Bashiri,Afghanistan,1102150221,Start,41.1,SOUTH ASIA
Abas Basir,Afghanistan,1098419766,C,41.1,SOUTH ASIA
Jan Baz,Afghanistan,997027082,Stub,41.1,SOUTH ASIA
Ahmad Behzad,Afghanistan,1103948295,Start,41.1,SOUTH ASIA
Bashir Ahmad Bezan,Afghanistan,1060707209,Start,41.1,SOUTH ASIA
Rafiullah Bidar,Afghanistan,977208323,Stub,41.1,SOUTH ASIA
Mohammad Siddiq Chakari,Afghanistan,1105913099,Stub,41.1,SOUTH ASIA
Cheragh Ali Cheragh,Afghanistan,1087211968,Start,41.1,SOUTH ASIA
Nasir Ahmad Durrani,Afghanistan,988838315,Stub,41.1,SOUTH ASIA
Elay Ershad,Afghanistan,1102489654,Stub,41.1,SOUTH ASIA
Muhammad Hashim Esmatullahi,Afghanistan,949986748,Stub,41.1,SOUTH ASIA
Ezatullah (Nangarhar),Afghanistan,947885788,Stub,41.1,SOUTH ASIA
Aimal Faizi,Afghanistan,1033383351,Stub,41.1,SOUTH ASIA
Mohammad Nasim Faqiri,Afghanistan,1098051193,Start,41.1,SOUTH ASIA
Mohammad Nazar Faqiri,Afghanistan,1095525798,Stub,41.1,SOUTH ASIA
